java, 52353,15496,65200,37551,95419,421280,533922,558839,624458,762205,770438,692677,907388,1074295,1100371,1360826,1388538,1468007,1501999,1615163,1619593,1549524,1517805,1650835,1837770,1779795,1961146,2042489,2129762,2443239,2481862,2629357,2735743,2863836,2972986,2967662,2930838,3002904,3003281,3022741,3292577,3329163,3478795,3705425,3692375,3833507,3848070,3897202,4210292,4394281,4375828,4519557,4440651,4826626,4971136,4909438,4925387,4946518,5357390,5449029,5574241,5761519,5761702,5721492,5814796,5819651,5896151,5825607,5944072,6042858,6060163,6140113,6181096,6167404,6289923,6358155,6484944,6567107,6681592,6750791,6827363,6968325,6921979,6929833,6943858,7070898,7060215,7085817,7118657,7298455,7411896,7378843,7557156,7654747,7677794,7699020,7771068,7823665,7809131,7969665,7934779,7944726,8096863,8262982,8357491,8286472,8340614,8381440,8462200,8512207,8564896,8659377,8775865,8759857,8820164,8768623,8868117,8873170,8907147,8926706,9078599,9120338,9408112,9333311,9408351,9427155,9328459,9323416,9325868,9368764,9431526,9541804,9567341,9606064,9614282,9713690,9868447,9956732,9966791,10210368,10351918,10255732,10466672,10757284,10829281,10944216,11117465,11146255,11174231,11153583,11283572,11305509,11410042,11332239,11609584,11760676,11682658,11775985,11888210,11898122,11942946,11938543,12198719,12198982,12304624,12302469,12341788,12447154,12534364,12549653,12554829,12622690,12638761,13003871,13118851,13318996,13491462,13631521,13780350,13710262,13860194,13922688,14038649,14060078,14057192,14257808,14378729,14486014,14637851,14731859,14660529,14833042,14852641,14964122,15052883,15265248,15409727,15476315,15611423,15730915,15849366,16014799,16102990,16114572,16292134,16465477,16538987,16652966,16723244,16859969,16819234,16827017,16940670,16869394,16966138,17013126,17002284,17040220,17137416,17239568,17335884,17387830,17418001,17414924,17514815,17564509,17671066,17803085,17908708,17977495,17987790,18030739,18046099,18158264,18114592,18131827,18206485,18172790,18197559,18220435,18277200,18331641,18375958,18339780,18538484,18640659,18640787,18687243,18687772,18849609,19026645,19041122,19047584,19047938,19059720,19114903,19265835,19214648,19201332,19352210,19408126,19318589,19418900,19487753,19515963,19501966,19553336,19615337,19623563,19692206,19694713,19744508,19747559,19726617,19714716,19773803,20034704,20079923,20083682,20124574,20125546,20157508,20340735,20268463,20596224,20577229,20584970,20494387,20537011,20681981,20685995,20655372,20781178,20843033,20927359,21116026,21190458,21276896,21247283,21400016,21320156,21316431,21597606,21589159,21702939,21734785,21695205,21748389,21800369,21959898,21925546,22076083,22116969,22159564,22242836,22159654,22236928,22247827,22332990,22375370,22473744,22486455,22570413,22579230,22689712,22721844,22756225,22826640,22764175,22846538,22867418,22945406,22861107,22983899,23040216,23036271,23082431,23101389,23162181,23177003,23254547,23291448,23358351,23532897,23632587,23709378,23824364,23801897,23826171,23901008,23863716,24183246,24367472,24280485,24429777,24556672,24609564,24631927,24646799,24713488,24837200,24876353,24918252,24930630,24919492,24919841,25070375,25097006,25111131,25210480,25331628,25234112,25257400,25396664,25395082,25439091,25447910,25402781,25612552,25774293,25699113,25738551,25708873,25705097,25810548
android, 3116216,4327089,5156994,5290148,5357390,5582383,6375573,6533676,6978964,7579191,7768221,8129040,8082321,8289687,8324869,8457927,8430924,8570864,8907874,8935003,9120338,9565204,9713690,9965535,9966791,10026632,10364282,10822397,11199384,11353919,11482832,11493222,11600021,11807084,11934883,12198982,12331101,12638761,13097091,13216882,13232284,13502217,13624503,13821949,14096403,14410520,14343533,14486014,14731859,14833042,14789985,15088482,15254788,15483686,15471772,15476315,15543607,15706062,15771971,16197137,16299763,16295862,16327753,16370811,16498740,16563916,16954617,16931847,17028533,17040220,17382384,17429070,17564509,17646964,17601026,17824704,17825178,17908517,17985876,18031098,18158264,18579317,18782621,19022613,19044665,19112254,19408126,19491289,19747559,19675785,20210470,20373472,20501969,20996346,22092798,22116969,22317587,22468890,22473744,22579230,22618588,22648568,22738327,22826640,22802337,22881681,23058480,23225993,23334971,23438233,23494305,23632587,23558190,23826171,24259361,24457689,24713488,24913130,25097006,25375840,25395082,25627608,25713276,25770049,25783281
proguard, 5156994,5582383,6533676,8129040,8907874,9120338,9565204,10822397,12198982,13216882,13624503,13821949,14410520,14343533,14731859,15483686,15476315,15543607,16197137,16327753,16370811,16931847,17028533,17040220,17429070,17824704,17908517,17985876,18158264,18782621,19022613,19044665,19112254,21800369,22317587,22468890,22473744,22618588,22648568,22738327,22802337,22881681,23058480,23494305,23558190,23826171,24913130,25375840,25770049
multithreading, 37551,1388538,3833507,3897202,4394281,6167404,6750791,8286472,8340614,8768623,8873170,10351918,10466672,12304624,15265248,15730915,15849366,16292134,17239568,17414924,18046099,18375958,19059720,19408126,20210470,20340735,20685995,20927359,20996346,21320156,21925546,22236928,22375370,22983899,23632587,25070375,25627608,25699113
jvm, 65200,1837770,1961146,6827363,7771068,8768623,9431526,9956732,13118851,13272543,14964122,15611423,16465477,16827017,17803085,20268463,22159654,22247827,22486455,22689712,24429777,24918252,25210480,25234112,25396664,25810548
concurrency, 692677,1468007,2443239,3292577,4925387,7557156,7809131,7969665,8262982,8286472,8340614,8381440,9328459,10255732,13491462,16652966,16940670,16966138,17414924,19041122,19408126,21247283,21925546,22236928,22579230,24918252
memory, 52353,2129762,7298455,8659377,9368764,12198719,13710262,14257808,14378729,14660529,14964122,18277200,18849609,19418900,19501966,19623563,21695205,24930630,25705097,25810548
unsafe, 4375828,5944072,6042858,9323416,9541804,12302469,13003871,13710262,16723244,18197559,18220435,18687243,22242836,22846538,22861107,23358351,25234112,25257400
performance, 4946518,7699020,7823665,7969665,12654700,13272543,14378729,14660529,16102990,16114572,18131827,18220435,21400016,21589159,22247827,23824364,24280485,25705097
android-anr-dialog, 5290148,8082321,8324869,8935003,9965535,11807084,13502217,15771971,16295862,16498740,17646964,18579317,19491289,20501969,22826640,23334971,25627608
